id,match_id,content,bowler,batsman,over,ball,lemmatized,ball_type,shot_type,region
2630000000,128748,"Back of a length and outside off, Nair sways away from it.",Josh Tongue,Karun Nair,13,3,"back of a length and outside off , nair sway away from it .",['back of a length'],[],[]
2620000000,128748,"Back of a length and around off, jags back in a bit, Karun Nair chops it out towards cover point and wants to take a quick single as he takes a couple of steps forward into the pitch but is sent back by his partner this time.",Josh Tongue,Karun Nair,13,2,"back of a length and around off , jag back in a bit , karun nair chop it out towards cover point and want to take a quick single a he take a couple of step forward into the pitch but is sent back by his partner this time .",['back of a length'],[],"['cover', 'point']"
2580000000,128748,"Darts in full and around middle, Yashasvi Jaiswal flicks it off the inner half of the bat to the right of deep fine leg and gets a single. He wants the second run but is sent back.",Josh Tongue,Yashasvi Jaiswal,13,1,"dart in full and around middle , yashasvi jaiswal flick it off the inner half of the bat to the right of deep fine leg and get a single . he want the second run but is sent back .",['full'],['flick'],['fine leg']
2540000000,128748,"Pitched up, around off, Karun Nair comes forward and drives it to the left of the bowler. Registers a couple of runs to his name.",Chris Woakes,Karun Nair,12,6,"pitched up , around off , karun nair come forward and drive it to the left of the bowler . register a couple of run to his name .",[],['drive'],[]
2510000000,128748,"Nagging length and around off, Nair hangs back and defends it.",Chris Woakes,Karun Nair,12,5,"nagging length and around off , nair hang back and defends it .",[],[],[]
2500000000,128748,"A half-appeal for LBW but there is a clear inside edge! Full and around off, shaping in, Nair comes forward to defend but gets an inside edge onto his front pad. The ball rolls away towards cover.",Chris Woakes,Karun Nair,12,4,"a half-appeal for lbw but there is a clear inside edge ! full and around off , shaping in , nair come forward to defend but get an inside edge onto his front pad . the ball roll away towards cover .",['full'],[],['cover']
2460000000,128748,"Better length from Woakes, just outside off, Karun Nair shoulders his arms over it to let it go.",Chris Woakes,Karun Nair,12,3,"better length from woakes , just outside off , karun nair shoulder his arm over it to let it go .",[],[],[]
2430000000,128748,"FOUR! Nicely driven! Much fuller and outside off, Karun Nair comes forward and shows the full face of the bat to drive it through covers for a boundary. He is looking in sublime touch.",Chris Woakes,Karun Nair,12,2,"four ! nicely driven ! much fuller and outside off , karun nair come forward and show the full face of the bat to drive it through cover for a boundary . he is looking in sublime touch .","['fuller', 'full']",['drive'],['cover']
2400000000,128748,"Hard length, around off, Yashasvi Jaiswal opens his stance and uses his wrists to nudge it towards mid-wicket for a quick single.",Chris Woakes,Yashasvi Jaiswal,12,1,"hard length , around off , yashasvi jaiswal open his stance and us his wrist to nudge it towards mid-wicket for a quick single .",[],[],[]
2380000000,128748,"Nagging length and around off, Nair gets behind the line and pats it down towards backward point.",Josh Tongue,Karun Nair,11,6,"nagging length and around off , nair get behind the line and pat it down towards backward point .",[],[],"['backward point', 'point']"
2340000000,128748,"Oh, close! A bit fuller and in that channel outside off, jags back in sharply with the angle, Karun Nair moves in his crease a bit but shoulders his arms again. The ball comes in and zips past the off stump.",Josh Tongue,Karun Nair,11,5,"oh , close ! a bit fuller and in that channel outside off , jag back in sharply with the angle , karun nair move in his crease a bit but shoulder his arm again . the ball come in and zip past the off stump .",['fuller'],[],[]
